Year,World
1960,1.39E+12
1961,1.45E+12
1962,1.55E+12
1963,1.67E+12
1964,1.83E+12
1965,1.99E+12
1966,2.16E+12
1967,2.30E+12
1968,2.49E+12
1969,2.74E+12
1970,3.00E+12
1971,3.31E+12
1972,3.82E+12
1973,4.66E+12
1974,5.37E+12
1975,5.98E+12
1976,6.50E+12
1977,7.35E+12
1978,8.66E+12
1979,1.01E+13
1980,1.13E+13
1981,1.17E+13
1982,1.16E+13
1983,1.18E+13
1984,1.23E+13
1985,1.29E+13
1986,1.52E+13
1987,1.73E+13
1988,1.93E+13
1989,2.02E+13
1990,2.28E+13
1991,2.38E+13
1992,2.54E+13
1993,2.58E+13
1994,2.79E+13
1995,3.10E+13
1996,3.17E+13
1997,3.16E+13
1998,3.15E+13
1999,3.27E+13
2000,3.38E+13
2001,3.36E+13
2002,3.49E+13
2003,3.92E+13
2004,4.41E+13
2005,4.78E+13
2006,5.18E+13
2007,5.83E+13
2008,6.41E+13
2009,6.08E+13
2010,6.66E+13
2011,7.39E+13
2012,7.55E+13
2013,7.76E+13
2014,7.97E+13
2015,7.52E+13
2016,7.65E+13
2017,8.14E+13
2018,8.65E+13
2019,8.77E+13
2020,8.51E+13
2021,9.65E+13
Unnamed: 66,